year,school,course,intake
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,50
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN ANIMATION,90
2018,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS INFORMATICS,100
2018,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN FINANCIAL INFORMATICS,65
2018,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,42
2018,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN CYBER SECURITY & FORENSICS,88
2018,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFOCOMM AND SECURITY,112
2018,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFORMATION TECHNOLOGY,146
2019,SCHOOL OF BUSINESS MANAGEMENT,COMMON BUSINESS PROGRAMME,251
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BUSINESS MANAGEMENT,251
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,56
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MARKETING,50
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MASS MEDIA MANAGEMENT,56
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,53
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN FOOD & BEVERAGE BUSINESS,71
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BANKING & FINANCE,70
2019,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN ACCOUNTANCY & FINANCE,72
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,121
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN PHARMACEUTICAL SCIENCE,80
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,45
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MEDICINAL CHEMISTRY,46
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,46
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN FOOD SCIENCE & NUTRITION,47
2019,SCHOOL OF DESIGN,DIPLOMA IN ARCHITECTURE,60
2019,SCHOOL OF DESIGN,DIPLOMA IN VISUAL COMMUNICATION,75
2019,SCHOOL OF DESIGN,DIPLOMA IN SPATIAL DESIGN,69
2019,SCHOOL OF DESIGN,DIPLOMA IN INDUSTRIAL DESIGN,52
2019,SCHOOL OF ENGINEERING,DIPLOMA IN ROBOTICS & MECHATRONICS,67
2019,SCHOOL OF ENGINEERING,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,44
2019,SCHOOL OF ENGINEERING,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,190
2019,SCHOOL OF ENGINEERING,DIPLOMA IN ENGINEERING WITH BUSINESS,66
2019,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2019,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRONIC SYSTEMS,88
2019,SCHOOL OF ENGINEERING,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,66
2019,SCHOOL OF ENGINEERING,COMMON ENGINEERING PROGRAMME,303
2019,SCHOOL OF ENGINEERING,DIPLOMA IN BIOMEDICAL ENGINEERING,44
2019,SCHOOL OF ENGINEERING,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,68
2019,SCHOOL OF ENGINEERING,AEROSPACE/MECHATRONICS PROGRAMME,118
2019,SCHOOL OF ENGINEERING,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,44
2019,SCHOOL OF ENGINEERING,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,44
2019,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN NURSING,810
2019,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),52
2019,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN ORAL HEALTH THERAPY,24
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,85
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN DIGITAL VISUAL EFFECTS,40
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN ANIMATION,85
